loss,val_loss
0.4404665231704712,0.2899283468723297
0.3254663348197937,0.19198057055473328
0.2291555106639862,0.11753560602664948
0.15057671070098877,0.05768931657075882
0.095282644033432,0.016297610476613045
0.0543300025165081,1.8706406990531832e-05
0.04996411129832268,0.010305346921086311
0.060398805886507034,0.016626596450805664
0.06400201469659805,0.009837837889790535
0.055124808102846146,0.0028162668459117413
0.04833594709634781,0.0001456319441786036
0.0465117022395134,0.0003005773469340056
0.045066963881254196,0.0006610648124478757
0.04528329521417618,0.0006321475957520306
0.045117247849702835,0.0003202314837835729
0.0454535111784935,3.198086687916657e-06
0.044176068156957626,6.2554763644584455e-06
0.04399638995528221,7.287853804882616e-05
0.044176749885082245,0.00034572946606203914
0.04458634555339813,0.0006233801250346005
0.04424901306629181,0.00021380549878813326
0.04349292069673538,0.00016236508963629603
0.04337244853377342,2.811525519064162e-06
0.04327051714062691,2.6834143227461027e-06
0.043056949973106384,9.856450924417004e-05
0.0426768884062767,0.0004921809886582196
0.0428667813539505,0.0006184892845340073
0.04272505268454552,0.00012592578423209488
0.04221184551715851,5.60779290026403e-06
0.04219583049416542,2.046302824965096e-06
0.04239195957779884,8.666369831189513e-05
0.041897088289260864,1.8029773855232634e-05
0.041782524436712265,6.747314273525262e-06
0.04204291105270386,0.00011352704314049333
0.04154590144753456,1.418077590642497e-05
0.04113420844078064,8.102071660687216e-06
0.04096313938498497,2.139815705959336e-06
0.04098227247595787,2.607763781270478e-05
0.04092567041516304,8.152728696586564e-05
0.04039604589343071,2.462268457747996e-05
