loss,val_loss
0.14012062549591064,0.09748146682977676
0.09484200179576874,0.07694084197282791
0.07720008492469788,0.05833764746785164
0.05705315247178078,0.043135374784469604
0.038970060646533966,0.03087250329554081
0.03716514632105827,0.024939587339758873
0.024428946897387505,0.026366744190454483
0.022625703364610672,0.022671939805150032
0.016008635982871056,0.0133777791634202
0.012507538311183453,0.011260057799518108
0.008051454089581966,0.009614412672817707
0.006119835190474987,0.007405123207718134
0.004412857815623283,0.005369970109313726
0.003167768707498908,0.005179163068532944
0.0027433424256742,0.003954661078751087
0.002137738047167659,0.003337210277095437
0.0014862583484500647,0.0034666061401367188
0.001212060684338212,0.003458330174908042
0.0011475792853161693,0.002880944637581706
0.001083875773474574,0.002483926946297288
0.000990077736787498,0.003235430223867297
0.0007614183705300093,0.0023318887688219547
0.000790261896327138,0.0027330785524100065
0.000676540017593652,0.00256902864202857
0.0006287603755481541,0.00249949237331748
0.000688449596054852,0.0028655342757701874
0.0006072838441468775,0.0019346990156918764
0.0006879807915538549,0.0038345069624483585
0.0007612741319462657,0.001252398476935923
0.0010658639948815107,0.003581973258405924
0.0008525976445525885,0.0022571932058781385
0.000746283563785255,0.002006259048357606
0.0005549381021410227,0.0035819027107208967
0.0008219119627028704,0.0024662541691213846
0.0006785818841308355,0.001910198712721467
0.0008155017276294529,0.003515955526381731
0.0007891804561950266,0.0019656920339912176
0.0009878844721242785,0.0019494608277454972
0.0018112388206645846,0.005543553736060858
