loss,val_loss
0.47424712777137756,0.27995583415031433
0.42879071831703186,0.24654251337051392
0.3919917047023773,0.21666064858436584
0.359087198972702,0.19047503173351288
0.3287109136581421,0.1660504937171936
0.3016515076160431,0.14510147273540497
0.27552273869514465,0.1243964433670044
0.24984432756900787,0.10480058938264847
0.225521519780159,0.08695059269666672
0.20139069855213165,0.07001747190952301
0.1774149090051651,0.05413667857646942
0.15407799184322357,0.03956795111298561
0.1315886527299881,0.02663387730717659
0.11035998910665512,0.015733810141682625
0.09075810760259628,0.00732856709510088
0.07331737130880356,0.0019188208971172571
0.0586700476706028,8.733196921184572e-08
0.04750177264213562,0.0019667770247906446
0.04046276584267616,0.007934722118079662
0.037992212921381,0.017461085692048073
0.04000844433903694,0.02923598699271679
0.04552324488759041,0.04104441776871681
0.052528899163007736,0.050449907779693604
0.05861208215355873,0.05581320822238922
0.06198719143867493,0.056682467460632324
0.06206819415092468,0.053639382123947144
0.059331536293029785,0.04783416911959648
